OID,FID_,COUNT,AREA,MEAN
-1,6084,10,9000.000000000000000,-0.035212724655867
-1,6113,5,4500.000000000000000,-0.029421897232533
-1,6120,5,4500.000000000000000,-0.204535534977913
-1,6124,7,6300.000000000000000,-0.253037201506751
-1,6126,2,1800.000000000000000,-0.165191620588303
-1,6127,6,5400.000000000000000,-0.071619078516960
-1,6128,54,48600.000000000000000,-0.048536015605485
-1,6130,9,8100.000000000000000,-0.150755522979630
-1,6131,11,9900.000000000000000,-0.151958636262200
-1,6132,3,2700.000000000000000,-0.148269916574160
-1,6133,8,7200.000000000000000,-0.137074906378984
-1,6136,10,9000.000000000000000,-0.223034785687923
-1,6137,56,50400.000000000000000,-0.144044623577169
-1,6141,16,14400.000000000000000,-0.078775195404887
-1,6143,4,3600.000000000000000,-0.227700438350439
-1,6144,13,11700.000000000000000,-0.220401893441494
-1,6146,30,27000.000000000000000,-0.255008168021838
-1,6147,235,211500.000000000000000,-0.291696017346484
-1,6148,42,37800.000000000000000,-0.135207211332662
-1,6150,15,13500.000000000000000,-0.053402049342791
-1,6151,23,20700.000000000000000,-0.146554326881533
-1,6159,27,24300.000000000000000,-0.167490864793460
-1,6161,4,3600.000000000000000,-0.190253436565399
-1,6162,69,62100.000000000000000,-0.110182027238003
-1,6163,55,49500.000000000000000,-0.327136728438464
-1,6164,8,7200.000000000000000,-0.069795757532120
-1,6169,86,77400.000000000000000,-0.151134833173696
-1,6177,65,58500.000000000000000,-0.224795076021781
-1,6179,9,8100.000000000000000,-0.049231025079886
-1,6180,385,346500.000000000000000,-0.163277670818490
-1,6181,3,2700.000000000000000,-0.109325503309568
-1,6182,109,98100.000000000000000,-0.115380045607549
-1,6185,70,63000.000000000000000,-0.037553479948214
-1,6186,52,46800.000000000000000,-0.034075967107828
-1,6187,21,18900.000000000000000,-0.305139670769374
-1,6188,22,19800.000000000000000,-0.152525427666577
-1,6189,5,4500.000000000000000,-0.172359460592270
-1,6190,49,44100.000000000000000,-0.099016980249055
-1,6191,64,57600.000000000000000,-0.041591966641136
-1,6193,22,19800.000000000000000,-0.190644819628109
-1,6194,944,849600.000000000000000,-0.205653006858113
-1,6198,10,9000.000000000000000,-0.040610427409410
-1,6199,4,3600.000000000000000,-0.039756612852216
-1,6200,1,900.000000000000000,-0.040483079850674
-1,6201,75,67500.000000000000000,-0.291007664601008
-1,6202,8,7200.000000000000000,-0.036989188753068
-1,6203,151,135900.000000000000000,-0.055173529200996
-1,6204,3,2700.000000000000000,-0.072372694810232
-1,6205,4,3600.000000000000000,-0.041473465040326
-1,6206,2,1800.000000000000000,-0.279640093445778
-1,6209,8,7200.000000000000000,-0.149911480024457
-1,6211,160,144000.000000000000000,-0.319794695265591
-1,6212,22,19800.000000000000000,-0.191089890219949
-1,6213,660,594000.000000000000000,-0.227983029525388
-1,6214,539,485100.000000000000000,-0.194640522515177
-1,6215,29,26100.000000000000000,-0.041527382515628
-1,6216,85,76500.000000000000000,-0.178470576160094
-1,6217,2,1800.000000000000000,-0.309204533696175
-1,6224,24,21600.000000000000000,-0.100055517007907
-1,6226,4,3600.000000000000000,-0.245971828699112
