OID,FID_,COUNT,AREA,MEAN
-1,60235,14,12600.000000000000000,-26.702095766152656
-1,60236,37,33300.000000000000000,-33.322756404006803
-1,60237,3,2700.000000000000000,-16.507782618204754
-1,60238,6,5400.000000000000000,-36.771211306254067
-1,60239,12,10800.000000000000000,-44.399396260579429
-1,60240,9,8100.000000000000000,-21.395306852128769
-1,60241,9,8100.000000000000000,-13.174589686923557
-1,60242,7,6300.000000000000000,-9.034462588174003
-1,60243,11,9900.000000000000000,-27.324559233405374
-1,60244,23,20700.000000000000000,-41.133154081261679
-1,60245,44,39600.000000000000000,-28.903703103011306
-1,60246,36,32400.000000000000000,-21.301770607630413
-1,60247,5,4500.000000000000000,-10.878323745727538
-1,60248,25,22500.000000000000000,-24.499129719734192
-1,60249,14,12600.000000000000000,-28.168025187083654
-1,60250,15,13500.000000000000000,-19.373458290100096
-1,60251,1,900.000000000000000,-49.732120513916016
-1,60252,5,4500.000000000000000,-20.023197937011719
-1,60253,13,11700.000000000000000,-24.221165800896976
-1,60254,12,10800.000000000000000,-33.648962299029030
-1,60255,18,16200.000000000000000,-19.539937257766724
-1,60256,11,9900.000000000000000,-24.217674168673430
-1,60257,6,5400.000000000000000,-7.114316225051880
-1,60258,3,2700.000000000000000,-24.246400197347004
-1,60259,6,5400.000000000000000,-35.714548110961914
-1,60260,3,2700.000000000000000,-24.809471130371094
-1,60261,4,3600.000000000000000,-20.183709621429443
-1,60262,15,13500.000000000000000,-6.729144507646561
-1,60263,2,1800.000000000000000,-65.706434249877930
-1,60264,15,13500.000000000000000,-27.969914710521699
-1,60265,7,6300.000000000000000,-25.301907266889298
-1,60266,4,3600.000000000000000,0.547775581479073
-1,60267,32,28800.000000000000000,-27.815949678421021
-1,60268,2,1800.000000000000000,-56.790985107421875
-1,60269,1,900.000000000000000,-74.192741394042969
-1,60270,11,9900.000000000000000,-26.801682038740680
-1,60271,4,3600.000000000000000,-27.749480724334717
-1,60272,18,16200.000000000000000,-19.972453763087589
-1,60273,6,5400.000000000000000,-24.963002840677898
-1,60274,3,2700.000000000000000,3.761593302090963
-1,60275,1,900.000000000000000,-18.448356628417969
-1,60276,4,3600.000000000000000,-14.334556639194489
-1,60277,14,12600.000000000000000,-36.617254717009409
-1,60278,18,16200.000000000000000,-19.679913956258034
-1,60279,3,2700.000000000000000,-81.486688931783036
-1,60280,24,21600.000000000000000,-19.776159962018330
-1,60281,21,18900.000000000000000,-17.850238737605867
-1,60282,6,5400.000000000000000,-32.136892318725586
-1,60283,47,42300.000000000000000,-16.280912247109921
-1,60284,10,9000.000000000000000,-48.662245464324954
-1,60285,12,10800.000000000000000,-69.865602334340409
-1,60286,37,33300.000000000000000,-19.382861678664749
-1,60287,2,1800.000000000000000,-78.055290222167969
-1,60288,1,900.000000000000000,-6.389430046081543
-1,60289,3,2700.000000000000000,-29.963780403137207
-1,60290,2,1800.000000000000000,-27.590971022844315
-1,60291,15,13500.000000000000000,-12.621825464566548
-1,60292,31,27900.000000000000000,-15.318684793287709
-1,60293,2,1800.000000000000000,2.731435537338257
-1,60294,18,16200.000000000000000,-33.880630917019317
-1,60295,1,900.000000000000000,-5.415230751037598
-1,60296,6,5400.000000000000000,-21.932334423065186
-1,60297,3,2700.000000000000000,-21.872344255447388
-1,60300,6,5400.000000000000000,-40.717846612135567
-1,60301,13,11700.000000000000000,-3.937663947160428
-1,60302,1,900.000000000000000,-105.744171142578125
-1,60303,2,1800.000000000000000,-39.044944763183594
-1,60304,2,1800.000000000000000,-8.288116455078125
-1,60305,15,13500.000000000000000,-37.578039121627810
-1,60306,13,11700.000000000000000,-29.055839997071487
-1,60307,8,7200.000000000000000,-36.807677149772644
-1,60308,10,9000.000000000000000,-29.886633539199828
-1,60309,12,10800.000000000000000,-13.132796963055929
-1,60310,15,13500.000000000000000,-19.934714845816295
-1,60311,7,6300.000000000000000,-26.482591015951975
-1,60312,6,5400.000000000000000,-28.546706875165302
-1,60313,2,1800.000000000000000,-17.142491340637207
-1,60314,1,900.000000000000000,-54.753349304199219
-1,60315,6,5400.000000000000000,-36.261469841003418
-1,60316,9,8100.000000000000000,-7.162637625303534
-1,60317,9,8100.000000000000000,-38.477638032701279
-1,60318,2,1800.000000000000000,-45.399328231811523
-1,60319,5,4500.000000000000000,-43.080074691772460
-1,60320,10,9000.000000000000000,-8.683707499504090
-1,60321,12,10800.000000000000000,-23.663760602474213
-1,60322,3,2700.000000000000000,-12.489075342814127
-1,60323,8,7200.000000000000000,-15.985098481178284
-1,60324,6,5400.000000000000000,-8.929671009381613
-1,60325,7,6300.000000000000000,-38.664515631539480
-1,60326,5,4500.000000000000000,-22.246575832366943
-1,60327,6,5400.000000000000000,-22.099082310994465
-1,60328,3,2700.000000000000000,-50.078545888264976
-1,60329,7,6300.000000000000000,-23.276433127267019
-1,60330,6,5400.000000000000000,-23.726731518904369
-1,60331,3,2700.000000000000000,-31.656117757161457
-1,60332,1,900.000000000000000,-3.096670150756836
-1,60333,10,9000.000000000000000,-32.636987413465974
-1,60334,2,1800.000000000000000,-54.102693557739258
-1,60335,2,1800.000000000000000,-34.016195297241211
-1,60336,2,1800.000000000000000,-20.669834136962891
-1,60337,7,6300.000000000000000,-42.252863202776226
-1,60338,7,6300.000000000000000,-28.242670331682479
-1,60339,2,1800.000000000000000,-18.080278873443604
-1,60340,4,3600.000000000000000,-24.917610645294189
-1,60341,4,3600.000000000000000,-16.105971097946167
-1,60342,32,28800.000000000000000,-12.039339087903500
-1,60343,16,14400.000000000000000,-30.326163887977600
-1,60344,1,900.000000000000000,-28.931379318237305
-1,60345,2,1800.000000000000000,-12.632536411285400
-1,60346,7,6300.000000000000000,-33.745888096945627
-1,60347,5,4500.000000000000000,-1.646692705154419
-1,60348,29,26100.000000000000000,-63.186966073924097
-1,60349,4,3600.000000000000000,-30.469110190868378
-1,60350,4,3600.000000000000000,-35.868594169616699
-1,60351,1,900.000000000000000,9.352646827697754
-1,60352,2,1800.000000000000000,-23.568755149841309
-1,60353,7,6300.000000000000000,-40.173642703465056
-1,60354,4,3600.000000000000000,-12.751492977142334
-1,60355,4,3600.000000000000000,-24.970245867967606
-1,60356,6,5400.000000000000000,-22.519073168436687
-1,60357,2,1800.000000000000000,1.156072020530701
-1,60358,4,3600.000000000000000,-17.755395412445068
-1,60359,4,3600.000000000000000,-36.809407711029053
-1,60360,2,1800.000000000000000,-4.261346340179443
-1,60361,58,52200.000000000000000,-13.919123735921136
-1,60362,24,21600.000000000000000,-14.578329960505167
-1,60363,3,2700.000000000000000,-19.667891502380371
-1,60364,4,3600.000000000000000,-20.532342672348022
-1,60365,2,1800.000000000000000,-24.808989524841309
-1,60366,5,4500.000000000000000,-7.702468681335449
-1,60367,8,7200.000000000000000,-14.569927930831909
-1,60368,5,4500.000000000000000,-29.168835067749022
-1,60369,5,4500.000000000000000,-32.816568756103514
-1,60370,5,4500.000000000000000,-20.378075790405273
-1,60371,6,5400.000000000000000,-13.002784172693888
-1,60372,3,2700.000000000000000,-11.380976676940918
-1,60373,2,1800.000000000000000,-23.680348396301270
-1,60374,3,2700.000000000000000,-20.335635503133137
-1,60375,7,6300.000000000000000,-26.658378532954625
-1,60376,2,1800.000000000000000,2.390388965606689
-1,60377,8,7200.000000000000000,-20.213627807796001
-1,60378,3,2700.000000000000000,-45.314999898274742
-1,60379,3,2700.000000000000000,-40.089568456014000
-1,60380,2,1800.000000000000000,-41.564218521118164
-1,60381,3,2700.000000000000000,25.210699717203777
-1,60382,3,2700.000000000000000,-16.183186292648315
-1,60383,1,900.000000000000000,-27.309019088745117
-1,60384,4,3600.000000000000000,-11.939347386360168
-1,60385,4,3600.000000000000000,-22.648506045341492
-1,60386,1,900.000000000000000,-59.537704467773438
-1,60387,2,1800.000000000000000,-40.616558074951172
-1,60388,8,7200.000000000000000,-16.927935495972633
-1,60389,1,900.000000000000000,6.738589763641357
-1,60390,3,2700.000000000000000,-53.050387064615883
-1,60391,4,3600.000000000000000,-60.826674461364746
-1,60392,5,4500.000000000000000,-30.452764892578124
-1,60393,2,1800.000000000000000,-58.676670074462891
-1,60394,1,900.000000000000000,-54.207412719726563
-1,60395,4,3600.000000000000000,-29.459712982177734
-1,60396,4,3600.000000000000000,-31.696850538253784
-1,60397,2,1800.000000000000000,-21.559602737426758
-1,60398,2,1800.000000000000000,-43.994625091552734
-1,60399,1,900.000000000000000,-6.776718139648438
-1,60400,1,900.000000000000000,-35.521835327148438
-1,60401,2,1800.000000000000000,-30.254167556762695
-1,60402,2,1800.000000000000000,-24.300053596496582
-1,60403,1,900.000000000000000,-30.073434829711914
-1,60404,39,35100.000000000000000,-23.284251408699230
-1,60405,27,24300.000000000000000,-25.764540778266060
-1,60406,2,1800.000000000000000,-34.096852302551270
-1,60407,1,900.000000000000000,-17.864530563354492
-1,60408,7,6300.000000000000000,-22.355554580688477
-1,60409,2,1800.000000000000000,-7.484392523765564
-1,60410,2,1800.000000000000000,2.991986058652401
-1,60411,7,6300.000000000000000,-33.603196280343191
-1,60412,2,1800.000000000000000,-44.550383567810059
-1,60413,11,9900.000000000000000,-15.804447650909424
-1,60414,1,900.000000000000000,-24.415483474731445
-1,60415,31,27900.000000000000000,-16.645186726124056
-1,60416,14,12600.000000000000000,-17.927479722670146
-1,60417,6,5400.000000000000000,-18.196629683176678
-1,60418,3,2700.000000000000000,-15.207359155019125
-1,60419,3,2700.000000000000000,-31.036502202351887
-1,60420,2,1800.000000000000000,-39.023597717285156
-1,60421,3,2700.000000000000000,-11.311109542846680
-1,60422,5,4500.000000000000000,-14.900601577758788
-1,60423,3,2700.000000000000000,-15.153480529785156
-1,60424,7,6300.000000000000000,-27.202646391732351
-1,60425,8,7200.000000000000000,-26.056357026100159
-1,60426,2,1800.000000000000000,-6.618839263916016
-1,60427,5,4500.000000000000000,-26.319278192520141
-1,60428,10,9000.000000000000000,-37.403354930877683
-1,60429,1,900.000000000000000,-74.946357727050781
-1,60430,10,9000.000000000000000,-16.404759442806245
-1,60431,5,4500.000000000000000,-19.636910057067873
-1,60432,3,2700.000000000000000,-14.913122653961182
-1,60433,2,1800.000000000000000,-14.205333650112152
-1,60434,6,5400.000000000000000,1.155684073766073
-1,60435,10,9000.000000000000000,-38.074814319610596
-1,60436,3,2700.000000000000000,-31.018921852111816
-1,60437,4,3600.000000000000000,-12.290211081504822
-1,60438,10,9000.000000000000000,-34.737601852416994
-1,60439,5,4500.000000000000000,-50.456633377075192
-1,60440,11,9900.000000000000000,-24.248105937784370
-1,60441,9,8100.000000000000000,-10.343994670444065
-1,60442,11,9900.000000000000000,-34.180179682644933
-1,60443,4,3600.000000000000000,-27.630839943885803
-1,60444,2,1800.000000000000000,-19.637001752853394
-1,60445,5,4500.000000000000000,-36.590317726135254
-1,60446,1,900.000000000000000,-37.644977569580078
-1,60447,29,26100.000000000000000,-18.502982797293829
-1,60448,8,7200.000000000000000,-24.006647467613220
-1,60449,9,8100.000000000000000,-21.957600063747829
-1,60450,4,3600.000000000000000,-71.375288009643555
-1,60451,27,24300.000000000000000,-39.259810553656685
-1,60452,7,6300.000000000000000,-15.586011614118304
-1,60453,4,3600.000000000000000,-32.554625511169434
-1,60454,2,1800.000000000000000,-22.142325401306152
-1,60455,2,1800.000000000000000,-14.323399305343628
-1,60456,6,5400.000000000000000,-6.976361006498337
-1,60458,22,19800.000000000000000,-23.468623518943787
-1,60459,6,5400.000000000000000,-20.966321786244709
-1,60460,10,9000.000000000000000,-13.431831789016723
-1,60462,5,4500.000000000000000,-17.811946678161622
-1,60463,40,36000.000000000000000,-23.326425071060658
-1,60464,4,3600.000000000000000,-29.978772044181824
-1,60465,2,1800.000000000000000,-13.547213912010193
-1,60466,2,1800.000000000000000,-20.844001770019531
-1,60467,5,4500.000000000000000,-37.445187377929685
-1,60468,3,2700.000000000000000,-68.580476125081375
-1,60469,20,18000.000000000000000,-14.348914861679077
-1,60470,14,12600.000000000000000,-13.440756985119410
-1,60471,23,20700.000000000000000,-36.762630421182386
-1,60472,6,5400.000000000000000,-24.185852050781250
-1,60473,2,1800.000000000000000,-25.194648623466492
-1,60474,9,8100.000000000000000,-19.946457915835911
-1,60475,3,2700.000000000000000,0.332127730051676
-1,60476,4,3600.000000000000000,-19.773458600044250
-1,60477,4,3600.000000000000000,-33.053860664367676
-1,60478,2,1800.000000000000000,-17.207360744476318
-1,60479,4,3600.000000000000000,-67.629083633422852
-1,60480,2,1800.000000000000000,-39.164936065673828
-1,60481,1,900.000000000000000,-16.817483901977539
-1,60482,16,14400.000000000000000,-31.224919505417347
-1,60483,4,3600.000000000000000,-48.962421059608459
